order,historical_mean_magnitude,historical_std_magnitude,phase_consistency,used_in_fault_score
2,0.008004850636381419,0.00014391020433802095,0.999889359294055,False
3,0.03502736747874742,0.00015887864980963963,0.9999911593820825,False
4,0.00020073350167384296,0.00012918453741020465,0.2416699076652588,False
5,0.01801204830430727,0.00015316525941728277,0.9999817099421988,False
6,0.00018849382964870697,9.027014004746318e-05,0.34340149373249046,False
7,0.007987238955128049,0.0001529225571972341,0.999686830985998,False
8,0.0002108415189490289,0.00013356495377541628,0.4548028553054273,False
9,0.00019745851827736926,0.00010451024764084213,0.07063630315389789,False
10,0.0001906167530044423,6.737912922529766e-05,0.2686513769170654,False
11,0.000193216656155794,8.880111420161276e-05,0.19083715133797005,False
12,0.000206369261730755,0.00010897356469640094,0.07341321647933782,False
13,0.0001736973339480856,9.762203958827466e-05,0.48067246404478986,False
14,0.0001787302503912759,8.796477854895997e-05,0.17336847120074025,False
15,0.00019278206901019392,0.00010515565794396341,0.18099713793888228,False
