trial_id,case,expected,observed,pass,expected_pulses,matched_pulses,missed_pulses,split_pulses,merged_groups,extra_output_pulses,detection_ratio,acquisition_limited_events,fs,source_width_s,latency_min_s,latency_max_s,minimum_valid_width_s,source_amplitude,output_noise,first_event_class,first_event_confidence,first_event_peak,estimated_tau_s,estimated_cutoff_hz
1,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,1250000.0,0.00043535640264487775,0.0002465924890561993,0.0034775238780769863,0.0001675736994223989,23.531145523111533,0.024281815905756135,valid pulse propagation,high,23.60106587677151,,
2,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,1250000.0,0.0005892406700008556,0.0001695329896894353,0.003455224770020231,0.00026851363324030395,27.0878541682852,0.03741423827132054,valid pulse propagation,high,27.212120370842666,,
3,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,500000.0,0.0002114432224065369,0.000102729921555557,0.002150176385434617,0.00011650928754466112,26.59246170237036,0.09451181626400343,valid pulse propagation,high,26.849624799677056,,
4,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,625000.0,0.0006381575144506675,0.00021560862851514466,0.002104131189989406,0.00036162697906869464,27.888278496976564,0.02875178003157345,valid pulse propagation,high,27.997408206404653,,
5,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,800000.0,0.00026890324310680663,0.00019441028760252058,0.002279255658338278,0.00010630124518929175,20.710927409489663,0.11692325730095984,valid pulse propagation,high,21.04206331744239,,
6,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,400000.0,0.0004939116226281047,0.00015106245678049799,0.0020171954110568156,0.00027263588076543787,20.06599044442492,0.019501575492399524,valid pulse propagation,high,20.130974999864613,,
7,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,1250000.0,0.0006807127699853026,0.0001053697707798541,0.002612094760390303,0.0002711428159489911,26.710401782063613,0.016847847477601798,valid pulse propagation,high,26.761454057664682,,
8,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,800000.0,0.0006682296705439068,0.00013761077339544781,0.0023161767273637652,0.00027350779336706164,24.207795684400043,0.080470163813316,valid pulse propagation,high,24.481376057467504,,
9,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,800000.0,0.00046210294836047526,8.760947719579017e-05,0.0030809763711581936,0.00021359321502424416,22.36079067032138,0.024005038344444507,valid pulse propagation,high,22.424574212526448,,
10,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,625000.0,0.00041132548514221566,0.0001602947149750152,0.002782316894479841,0.00016738191766075934,20.98098965763806,0.0805418723255707,valid pulse propagation,high,21.193090752769173,,
