Family,Consensus RMSE vs truth,Collective exp-fit RMSE vs truth,Single-capture exp-fit RMSE vs truth,Collective boundary MAE (samples),Single boundary MAE (samples),Collective pole log-MAE,Single pole log-MAE,Alignment lag MAE (samples),Median pointwise spread
0,0.01146277284689991,0.010869281964086987,0.019442595505328054,1.4,2.0,0.2480283423702904,0.7356792723912035,0.94,0.04487980347937025
1,0.009760236794438546,0.01274157683282039,0.029807807506853926,1.0,3.2,0.24355180825173042,0.6986518152173672,0.41,0.04726601167036115
2,0.005457639230250457,0.0029802235740060004,0.032752728420720016,0.8,8.6,0.2871668663217618,1.393359647649655,0.63,0.04533959679818394
3,0.009196585317663169,0.007964687628087998,0.02131935371359037,1.4,1.8,0.20746150435500668,1.2776854585621702,0.55,0.04585886169979757
4,0.008513347358547505,0.008153046808519386,0.0274368346847164,24.8,22.8,0.6975397355858015,1.0624946017008434,0.7,0.04398055737482608
5,0.011568179370496165,0.010509419841314687,0.023423900609423686,0.8,4.6,0.2023075408440073,0.7604537905125501,0.65,0.04578231331004372
6,0.008355829286188781,0.006921861596829994,0.01620404234009949,2.6,6.8,0.17528966891135864,0.6959679043529482,0.84,0.04595184211607489
7,0.008525927124661912,0.007726297186898915,0.028381026125684678,4.2,7.4,0.37734436067652566,0.9200236280007558,0.33,0.04474476572605038
8,0.00846720182227859,0.0077317394752363594,0.04018835075504026,3.0,10.6,0.6154518375853949,1.6052406193560047,1.05,0.044585624452606124
9,0.010332506650092882,0.00962766690843083,0.015733688772964355,2.4,12.8,0.5298216663847836,0.36305779121773823,0.42,0.04476461177305449
10,0.021289819964549477,0.02071270477578572,0.06195763322525211,27.2,15.8,1.0470813089234292,1.114702797187966,2.5,0.045200080622145686
11,0.0074319605905919656,0.008060486756679964,0.020090375742234535,4.8,12.0,0.23929542876259313,1.2396744708339302,0.88,0.04534036275891384
12,0.015919808284178674,0.014996315598604074,0.03723757085240414,2.6,11.0,0.4586539980174509,0.9563571434935308,1.52,0.04442989954547949
13,0.008806682433365406,0.007550094581050944,0.037331429784832774,1.0,7.4,0.3586283783075684,1.4275859907491055,0.43,0.04758629282931939
14,0.009450650018893529,0.007842068565196897,0.02807164103061327,2.0,6.0,0.5397627685052827,1.3401040014936918,1.22,0.04317225521740296
