Family,Region,True pole,Collective fitted pole,Single fitted pole,True start,Collective fitted start,Single fitted start
0,1,-16.917887229716893,-15.848507336610563,-15.848507336610563,0,0,0
0,2,-2.089662892829181,-1.9923447578396105,-15.848507336610563,57,54,57
0,3,-2.5108714703265114,-0.8,-4.961797042613721,102,99,99
0,4,-19.023576344321782,-15.848507336610563,-7.512141688339704,154,153,150
0,5,-26.33365392226428,-26.06982374322739,-22.084531217233312,183,183,183
0,6,-17.899320262984894,-17.219213869646232,-10.467997023365006,210,210,207
1,1,-4.371640576711458,-6.9141502952803435,-18.708470141140005,0,0,0
1,2,-20.983504831595017,-20.326529287084,-22.084531217233312,41,42,45
1,3,-22.909578832341335,-18.708470141140005,-26.06982374322739,101,99,102
1,4,-26.539260784948972,-26.06982374322739,-28.32455202526461,126,126,126
1,5,-2.660034088981206,-4.961797042613721,-20.326529287084,162,162,165
1,6,-31.988155152330116,-36.32770102930122,-50.621817587743905,196,198,204
2,1,-2.5419890231646876,-2.7762866915774826,-0.8,0,0,0
2,2,-2.575639269922933,-3.560731086348484,-55.0,26,27,27
2,3,-4.548849231372116,-6.9141502952803435,-0.8,73,75,57
2,4,-3.3360104539796125,-3.2772850824025843,-0.8,125,126,114
2,5,-2.143725619146071,-0.9443650304113036,-3.0164023204439605,183,183,171
2,6,-19.760760436657385,-18.708470141140005,-10.467997023365006,210,210,213
3,1,-12.659385324374522,-12.357012909144409,-1.0260413226489318,0,0,0
3,2,-2.7740076415140376,-2.164658775660178,-17.219213869646232,38,39,39
3,3,-6.528949130622105,-11.373353698474634,-5.857184518803278,73,75,69
3,4,-22.692644897919465,-23.99457931044167,-20.326529287084,98,99,96
3,5,-9.58722378893281,-8.86775489245368,-15.848507336610563,148,147,147
3,6,-10.83964980707196,-8.161852192338433,-0.8,203,201,204
4,1,-11.477859808550626,-9.634709742287807,-6.9141502952803435,0,0,0
4,2,-19.999939770829588,-22.084531217233312,-17.219213869646232,31,33,30
4,3,-6.7372134414950855,-0.8,-8.86775489245368,59,90,69
4,4,-2.15688432560679,-2.7762866915774826,-14.586913589671289,91,123,117
4,5,-3.684658145109721,-0.8,-55.0,124,162,171
4,6,-6.360696598001341,-6.363761000398675,-2.7762866915774826,162,183,192
5,1,-3.412172974642344,-3.868691783137035,-0.8,0,0,0
5,2,-2.107348111178919,-4.566821541792708,-1.9923447578396105,57,57,42
5,3,-7.766290361232548,-8.161852192338433,-0.8,89,90,90
5,4,-7.021378357279858,-6.363761000398675,-7.512141688339704,136,135,132
5,5,-24.638711649705744,-22.084531217233312,-23.99457931044167,187,186,186
5,6,-18.237081283666864,-17.219213869646232,-36.32770102930122,214,213,216
6,1,-32.534241699229845,-30.774287365112826,-30.774287365112826,0,0,0
6,2,-15.023808665669405,-15.848507336610563,-14.586913589671289,49,51,48
6,3,-5.702146708058396,-7.512141688339704,-55.0,76,78,93
6,4,-4.171730166464959,-2.5552850631330246,-1.2111969310832655,108,111,114
6,5,-13.398099800663985,-13.425746889173139,-11.373353698474634,136,141,144
6,6,-7.579130537820436,-6.363761000398675,-4.961797042613721,197,198,195
7,1,-5.197782735321408,-3.560731086348484,-0.8,0,0,0
7,2,-14.905900594451024,-14.586913589671289,-30.774287365112826,36,39,45
7,3,-16.73192477688674,-14.586913589671289,-10.467997023365006,96,96,102
7,4,-3.588165285444534,-0.8,-28.32455202526461,125,141,144
7,5,-15.82213822962531,-17.219213869646232,-11.373353698474634,173,174,174
7,6,-30.034657787864894,-26.06982374322739,-28.32455202526461,206,207,204
8,1,-7.3147513096861685,-6.9141502952803435,-0.8691904419222768,0,0,0
8,2,-15.915289257981822,-15.848507336610563,-3.868691783137035,55,57,57
8,3,-2.063360118649126,-0.8,-55.0,96,87,93
8,4,-14.0923536608074,-13.425746889173139,-4.961797042613721,121,123,126
8,5,-21.26228499886205,-28.32455202526461,-14.586913589671289,157,156,183
8,6,-8.383856761013373,-0.8,-33.435895543406936,187,186,204
9,1,-3.080239696979583,-0.8,-9.634709742287807,0,0,0
9,2,-2.6882722786801367,-14.586913589671289,-2.5552850631330246,26,27,54
9,3,-8.287838844746174,-8.161852192338433,-14.586913589671289,61,69,93
