index,time_s,channel,value
0,0.00000000,CH4,1.3074237832
1,0.00005000,CH4,1.2162307125
2,0.00010000,CH4,1.3610617054
3,0.00015000,CH4,1.2720313432
4,0.00020000,CH4,1.3398869276
5,0.00025000,CH4,1.2927460057
6,0.00030000,CH4,1.2239255892
7,0.00035000,CH4,1.3561303862
8,0.00040000,CH4,1.3421700611
9,0.00045000,CH4,1.2299434457
10,0.00050000,CH4,1.3443431312
11,0.00055000,CH4,1.2936914725
12,0.00060000,CH4,1.2936657980
13,0.00065000,CH4,1.3050577094
14,0.00070000,CH4,1.2948029863
15,0.00075000,CH4,1.3165328450
16,0.00080000,CH4,1.2462261368
17,0.00085000,CH4,1.3123569325
18,0.00090000,CH4,1.2800298042
19,0.00095000,CH4,1.4016824715
20,0.00100000,CH4,1.1948634828
21,0.00105000,CH4,-1.0264932481
22,0.00110000,CH4,-1.0367600855
23,0.00115000,CH4,-1.0438365422
24,0.00120000,CH4,-1.0645394968
25,0.00125000,CH4,-1.1138092224
26,0.00130000,CH4,-1.1472283280
27,0.00135000,CH4,-1.0934906572
28,0.00140000,CH4,-1.1093050807
29,0.00145000,CH4,-1.0398906625
30,0.00150000,CH4,-1.0392092532
31,0.00155000,CH4,-1.1102861625
32,0.00160000,CH4,-1.1314925438
33,0.00165000,CH4,-1.0160299404
34,0.00170000,CH4,-1.0613896286
35,0.00175000,CH4,-1.1041060741
36,0.00180000,CH4,-0.9905055212
37,0.00185000,CH4,-0.9862878778
38,0.00190000,CH4,-1.1154539032
39,0.00195000,CH4,-1.1524096873
40,0.00200000,CH4,-1.0728297460
41,0.00205000,CH4,1.2818815404
42,0.00210000,CH4,1.3180860964
43,0.00215000,CH4,1.3681608177
44,0.00220000,CH4,1.3087330187
45,0.00225000,CH4,1.3228827814
46,0.00230000,CH4,1.2885033894
47,0.00235000,CH4,1.2576344016
48,0.00240000,CH4,1.3023760552
49,0.00245000,CH4,1.3990443589
50,0.00250000,CH4,1.2503988605
51,0.00255000,CH4,1.2502944321
52,0.00260000,CH4,1.3082398388
53,0.00265000,CH4,1.3207919798
54,0.00270000,CH4,1.2405208441
55,0.00275000,CH4,1.3034939221
56,0.00280000,CH4,1.3044630046
57,0.00285000,CH4,1.3042029741
58,0.00290000,CH4,1.3885585623
59,0.00295000,CH4,1.3239873854
60,0.00300000,CH4,1.2725180287
61,0.00305000,CH4,-1.1687503445
62,0.00310000,CH4,-1.1472919986
63,0.00315000,CH4,-1.0732786196
64,0.00320000,CH4,-1.1017148411
65,0.00325000,CH4,-1.0800489236
66,0.00330000,CH4,-1.1278269623
67,0.00335000,CH4,-1.0131877252
68,0.00340000,CH4,-1.1454449951
69,0.00345000,CH4,-1.0637921979
