pair,channel_a,channel_b,aligned_sample_count,aligned_sampling_frequency_hz,best_cross_correlation_lag_s,best_cross_correlation_value,peak_coherence,peak_coherence_frequency_hz
CH1_CH2,CH1,CH2,1999,19999.99999999943,-0.00010000000000000285,0.982428932528674,0.9999970132680848,996.0937499999716
CH1_CH3,CH1,CH3,1999,19999.99999999943,-0.00010000000000000285,0.9369874369066127,0.999995589260662,996.0937499999716
CH1_CH4,CH1,CH4,1999,19999.99999999943,-0.03285000000000094,0.011655392981570924,0.9970512910151601,7089.843749999797
CH1_CH5,CH1,CH5,1999,19999.99999999943,0.0001500000000000043,0.9196896601133522,0.9999631079499195,996.0937499999716
CH2_CH3,CH2,CH3,1999,19999.99999999943,0.0,0.9351645921845707,0.9999996984071245,996.0937499999716
CH2_CH4,CH2,CH4,1999,19999.99999999943,-0.03270000000000094,0.011383461311207071,0.9990301667606403,3144.5312499999104
CH2_CH5,CH2,CH5,1999,19999.99999999943,0.00025000000000000716,0.93563773546045,0.9999480722883071,996.0937499999716
CH3_CH4,CH3,CH4,1999,19999.99999999943,-0.03285000000000094,0.011106202737062766,0.998678896866899,1425.7812499999593
CH3_CH5,CH3,CH5,1999,19999.99999999943,0.00025000000000000716,0.8749568665556956,0.9999399788081358,996.0937499999716
CH4_CH5,CH4,CH5,1999,19999.99999999943,0.0,0.047006381016356624,0.9999670515969274,6503.9062499998145
