index,time_s,channel,value
0,0.00000000,CH2,1.1152243197
1,0.00005000,CH2,1.4100537655
2,0.00010000,CH2,1.5858084655
3,0.00015000,CH2,1.5726948340
4,0.00020000,CH2,1.3250496711
5,0.00025000,CH2,0.9034588546
6,0.00030000,CH2,0.4880522140
7,0.00035000,CH2,-0.0174960214
8,0.00040000,CH2,-0.4127251120
9,0.00045000,CH2,-0.8301610594
10,0.00050000,CH2,-1.2000728553
11,0.00055000,CH2,-1.4403762081
12,0.00060000,CH2,-1.5262687117
13,0.00065000,CH2,-1.5312989846
14,0.00070000,CH2,-1.5033123722
15,0.00075000,CH2,-1.3268073765
16,0.00080000,CH2,-0.9913442239
17,0.00085000,CH2,-0.5060368246
18,0.00090000,CH2,0.0654453586
19,0.00095000,CH2,0.4971642074
20,0.00100000,CH2,1.0971113259
21,0.00105000,CH2,1.4514882989
22,0.00110000,CH2,1.6410450754
23,0.00115000,CH2,1.6416071007
24,0.00120000,CH2,1.3326723922
25,0.00125000,CH2,0.9746124937
26,0.00130000,CH2,0.5491798159
27,0.00135000,CH2,-0.0076540406
28,0.00140000,CH2,-0.5261125461
29,0.00145000,CH2,-0.8241453721
30,0.00150000,CH2,-1.1776215307
31,0.00155000,CH2,-1.4802944677
32,0.00160000,CH2,-1.5589821269
33,0.00165000,CH2,-1.5286976682
34,0.00170000,CH2,-1.4924636806
35,0.00175000,CH2,-1.2909025255
36,0.00180000,CH2,-0.9890473115
37,0.00185000,CH2,-0.4880921882
38,0.00190000,CH2,0.0951054821
39,0.00195000,CH2,0.5890835127
40,0.00200000,CH2,1.0633937370
41,0.00205000,CH2,1.4173501704
42,0.00210000,CH2,1.5861179274
43,0.00215000,CH2,1.6102574025
44,0.00220000,CH2,1.3509897651
45,0.00225000,CH2,0.9424015802
46,0.00230000,CH2,0.5295996617
47,0.00235000,CH2,0.0384516382
48,0.00240000,CH2,-0.4590928720
49,0.00245000,CH2,-0.9180229032
50,0.00250000,CH2,-1.1355960317
51,0.00255000,CH2,-1.4099258950
52,0.00260000,CH2,-1.5461832427
53,0.00265000,CH2,-1.5196748625
54,0.00270000,CH2,-1.4858758944
55,0.00275000,CH2,-1.2755937340
56,0.00280000,CH2,-0.9008785825
57,0.00285000,CH2,-0.4077900932
58,0.00290000,CH2,0.0390936862
59,0.00295000,CH2,0.5680324067
60,0.00300000,CH2,1.1016868157
61,0.00305000,CH2,1.4344613602
62,0.00310000,CH2,1.6195101231
63,0.00315000,CH2,1.5678024685
64,0.00320000,CH2,1.3462012148
65,0.00325000,CH2,1.0312139553
66,0.00330000,CH2,0.5504735700
67,0.00335000,CH2,0.0618924305
68,0.00340000,CH2,-0.4793690311
69,0.00345000,CH2,-0.8788519288
70,0.00350000,CH2,-1.1725547176
71,0.00355000,CH2,-1.3827783996
72,0.00360000,CH2,-1.5689738705
73,0.00365000,CH2,-1.5835081760
74,0.00370000,CH2,-1.4060133938
75,0.00375000,CH2,-1.3114926436
76,0.00380000,CH2,-0.9511044795
77,0.00385000,CH2,-0.4812491410
78,0.00390000,CH2,0.0362323489
79,0.00395000,CH2,0.5914763689
80,0.00400000,CH2,0.9816409288
81,0.00405000,CH2,1.4756544194
82,0.00410000,CH2,1.6402364383
83,0.00415000,CH2,1.5409977476
84,0.00420000,CH2,1.4031439478
85,0.00425000,CH2,0.9433927579
86,0.00430000,CH2,0.4982454328
87,0.00435000,CH2,-0.0430170702
88,0.00440000,CH2,-0.3958214298
89,0.00445000,CH2,-0.8156460490
90,0.00450000,CH2,-1.1256971139
91,0.00455000,CH2,-1.3650517780
92,0.00460000,CH2,-1.5332300600
93,0.00465000,CH2,-1.5523724303
