index,time_s,channel,value
0,0.00000000,CH1,0.2190509085
1,0.00005000,CH1,0.8864404328
2,0.00010000,CH1,1.4479791353
3,0.00015000,CH1,1.8412983449
4,0.00020000,CH1,2.1705672685
5,0.00025000,CH1,2.1595824524
6,0.00030000,CH1,2.1667287649
7,0.00035000,CH1,1.8521693286
8,0.00040000,CH1,1.4340398456
9,0.00045000,CH1,0.8523019661
10,0.00050000,CH1,0.2721401268
11,0.00055000,CH1,-0.3869753457
12,0.00060000,CH1,-0.8926819845
13,0.00065000,CH1,-1.4033033023
14,0.00070000,CH1,-1.6599384485
15,0.00075000,CH1,-1.7336224455
16,0.00080000,CH1,-1.6593394176
17,0.00085000,CH1,-1.4142098766
18,0.00090000,CH1,-0.9014082659
19,0.00095000,CH1,-0.3656164148
20,0.00100000,CH1,0.2382081501
21,0.00105000,CH1,0.8842353461
22,0.00110000,CH1,1.3970237136
23,0.00115000,CH1,1.8836536992
24,0.00120000,CH1,2.1354969988
25,0.00125000,CH1,2.2537376358
26,0.00130000,CH1,2.1316314845
27,0.00135000,CH1,1.8543049128
28,0.00140000,CH1,1.4438759629
29,0.00145000,CH1,0.8596966506
30,0.00150000,CH1,0.3166971547
31,0.00155000,CH1,-0.3946904350
32,0.00160000,CH1,-0.8643409802
33,0.00165000,CH1,-1.3810032368
34,0.00170000,CH1,-1.7066394632
35,0.00175000,CH1,-1.8041261408
36,0.00180000,CH1,-1.6654241998
37,0.00185000,CH1,-1.3752087119
38,0.00190000,CH1,-0.9204227566
39,0.00195000,CH1,-0.3852778320
40,0.00200000,CH1,0.2499565363
41,0.00205000,CH1,0.8219837609
42,0.00210000,CH1,1.4300003628
43,0.00215000,CH1,1.9062383757
44,0.00220000,CH1,2.1827860917
45,0.00225000,CH1,2.2480093072
46,0.00230000,CH1,2.1569963084
47,0.00235000,CH1,1.8561219221
48,0.00240000,CH1,1.3774382072
49,0.00245000,CH1,0.8419529422
50,0.00250000,CH1,0.2277533263
51,0.00255000,CH1,-0.3315352743
52,0.00260000,CH1,-0.9009846182
53,0.00265000,CH1,-1.3535482219
54,0.00270000,CH1,-1.6696605875
55,0.00275000,CH1,-1.7363680833
56,0.00280000,CH1,-1.6753019778
57,0.00285000,CH1,-1.3445673392
58,0.00290000,CH1,-0.8826284530
59,0.00295000,CH1,-0.4269190740
60,0.00300000,CH1,0.2562126676
61,0.00305000,CH1,0.8901856626
62,0.00310000,CH1,1.4259785252
63,0.00315000,CH1,1.8638324641
64,0.00320000,CH1,2.1276755818
65,0.00325000,CH1,2.2205890271
66,0.00330000,CH1,2.1132648657
67,0.00335000,CH1,1.8978647669
68,0.00340000,CH1,1.3508405526
69,0.00345000,CH1,0.8704011582
70,0.00350000,CH1,0.2340354504
71,0.00355000,CH1,-0.3438173125
72,0.00360000,CH1,-0.9104018428
73,0.00365000,CH1,-1.3449097617
74,0.00370000,CH1,-1.6003101983
75,0.00375000,CH1,-1.7722346109
76,0.00380000,CH1,-1.6256144620
77,0.00385000,CH1,-1.3227673028
78,0.00390000,CH1,-0.9184446156
79,0.00395000,CH1,-0.3523360265
80,0.00400000,CH1,0.2368556131
81,0.00405000,CH1,0.8681886448
82,0.00410000,CH1,1.3922195224
83,0.00415000,CH1,1.8691854858
84,0.00420000,CH1,2.1571277010
85,0.00425000,CH1,2.2213920441
86,0.00430000,CH1,2.1311373440
87,0.00435000,CH1,1.8719119788
88,0.00440000,CH1,1.4394219446
89,0.00445000,CH1,0.8741436378
90,0.00450000,CH1,0.2784046411
91,0.00455000,CH1,-0.3677899634
92,0.00460000,CH1,-0.9853883497
93,0.00465000,CH1,-1.3496542330
94,0.00470000,CH1,-1.6859772223
95,0.00475000,CH1,-1.6862064374
96,0.00480000,CH1,-1.6137753391
97,0.00485000,CH1,-1.3617818298
98,0.00490000,CH1,-0.9149693829
99,0.00495000,CH1,-0.3691691090
100,0.00500000,CH1,0.1824310794
101,0.00505000,CH1,0.8948708522
102,0.00510000,CH1,1.4483536264
103,0.00515000,CH1,1.7866788100
104,0.00520000,CH1,2.1195965278
105,0.00525000,CH1,2.2162159995
106,0.00530000,CH1,2.1757084802
107,0.00535000,CH1,1.8693614684
108,0.00540000,CH1,1.4440095284
109,0.00545000,CH1,0.8588192579
110,0.00550000,CH1,0.2837896785
111,0.00555000,CH1,-0.3801109781
112,0.00560000,CH1,-0.8933587986
113,0.00565000,CH1,-1.3426684964
114,0.00570000,CH1,-1.6839808908
115,0.00575000,CH1,-1.7112914049
116,0.00580000,CH1,-1.6350363032
117,0.00585000,CH1,-1.3604288511
118,0.00590000,CH1,-0.9040539711
119,0.00595000,CH1,-0.3663005204
120,0.00600000,CH1,0.2993273186
121,0.00605000,CH1,0.9077890362
122,0.00610000,CH1,1.4197725670
123,0.00615000,CH1,1.8559938451
124,0.00620000,CH1,2.1413974846
125,0.00625000,CH1,2.2319568338
126,0.00630000,CH1,2.1594545052
127,0.00635000,CH1,1.8557841586
128,0.00640000,CH1,1.4296764274
129,0.00645000,CH1,0.8422296866
130,0.00650000,CH1,0.2009321816
131,0.00655000,CH1,-0.3582424630
132,0.00660000,CH1,-0.8850635897
133,0.00665000,CH1,-1.3304351104
134,0.00670000,CH1,-1.6837056304
135,0.00675000,CH1,-1.7451004875
136,0.00680000,CH1,-1.6642394182
137,0.00685000,CH1,-1.3848661890
138,0.00690000,CH1,-0.9309359116
139,0.00695000,CH1,-0.3690445322
140,0.00700000,CH1,0.2420117898
141,0.00705000,CH1,0.8325252436
142,0.00710000,CH1,1.4337482065
143,0.00715000,CH1,1.8898403652
144,0.00720000,CH1,2.1550311493
145,0.00725000,CH1,2.2474580770
146,0.00730000,CH1,2.1480144387
147,0.00735000,CH1,1.8408824273
148,0.00740000,CH1,1.4135551105
149,0.00745000,CH1,0.8028612247
150,0.00750000,CH1,0.2579761103
151,0.00755000,CH1,-0.3686001167
152,0.00760000,CH1,-0.8730367829
153,0.00765000,CH1,-1.3527132602
154,0.00770000,CH1,-1.6800022289
155,0.00775000,CH1,-1.7887802460
156,0.00780000,CH1,-1.6094814668
157,0.00785000,CH1,-1.4026312581
158,0.00790000,CH1,-0.9248695599
159,0.00795000,CH1,-0.3902485553
160,0.00800000,CH1,0.2335452121
161,0.00805000,CH1,0.9050566712
162,0.00810000,CH1,1.4318089308
163,0.00815000,CH1,1.8605240288
164,0.00820000,CH1,2.1586974393
165,0.00825000,CH1,2.1713592242
166,0.00830000,CH1,2.1273973028
167,0.00835000,CH1,1.8953388259
168,0.00840000,CH1,1.4526738516
169,0.00845000,CH1,0.8318259017
170,0.00850000,CH1,0.2328051700
171,0.00855000,CH1,-0.3955431790
172,0.00860000,CH1,-0.9318033052
173,0.00865000,CH1,-1.3716932743
174,0.00870000,CH1,-1.6570696288
175,0.00875000,CH1,-1.7116354004
176,0.00880000,CH1,-1.6378073672
177,0.00885000,CH1,-1.3746801862
178,0.00890000,CH1,-0.9785640204
179,0.00895000,CH1,-0.3987276809
180,0.00900000,CH1,0.1988402634
181,0.00905000,CH1,0.8873345605
182,0.00910000,CH1,1.4477051404
183,0.00915000,CH1,1.8805911804
184,0.00920000,CH1,2.1453183047
185,0.00925000,CH1,2.2280491888
186,0.00930000,CH1,2.1551638974
187,0.00935000,CH1,1.8766366625
188,0.00940000,CH1,1.4455628837
189,0.00945000,CH1,0.8695365859
190,0.00950000,CH1,0.1991934569
191,0.00955000,CH1,-0.3896456763
192,0.00960000,CH1,-0.9261784244
193,0.00965000,CH1,-1.3272766758
194,0.00970000,CH1,-1.6761986207
195,0.00975000,CH1,-1.7724966859
196,0.00980000,CH1,-1.6170262850
197,0.00985000,CH1,-1.3170082322
198,0.00990000,CH1,-0.9151455444
199,0.00995000,CH1,-0.3761488480
200,0.01000000,CH1,0.2716212960
201,0.01005000,CH1,0.9003118973
202,0.01010000,CH1,1.4234515879
203,0.01015000,CH1,1.8617764053
204,0.01020000,CH1,2.1004741148
205,0.01025000,CH1,2.2552660515
206,0.01030000,CH1,2.1371030796
207,0.01035000,CH1,1.8208511375
208,0.01040000,CH1,1.4259208559
209,0.01045000,CH1,0.8689033681
210,0.01050000,CH1,0.2390524787
211,0.01055000,CH1,-0.3686932315
212,0.01060000,CH1,-0.9262433465
213,0.01065000,CH1,-1.3519567103
214,0.01070000,CH1,-1.6560080854
215,0.01075000,CH1,-1.7641480034
216,0.01080000,CH1,-1.6668253463
217,0.01085000,CH1,-1.3835989949
218,0.01090000,CH1,-0.9821561885
219,0.01095000,CH1,-0.3513076833
220,0.01100000,CH1,0.2764106320
221,0.01105000,CH1,0.9329446029
222,0.01110000,CH1,1.4342291739
223,0.01115000,CH1,1.8635314204
224,0.01120000,CH1,2.1348303573
