index,time_s,channel,value
0,0.00000000,CH5,1.1135598944
1,0.00005000,CH5,1.3362242459
2,0.00010000,CH5,1.1992804281
3,0.00015000,CH5,0.8578480267
4,0.00020000,CH5,0.4065313199
5,0.00025000,CH5,-0.2547419977
6,0.00030000,CH5,-0.5984653640
7,0.00035000,CH5,-0.8859449177
8,0.00040000,CH5,-0.8925304573
9,0.00045000,CH5,-0.7758683415
10,0.00050000,CH5,-0.8439571975
11,0.00055000,CH5,-0.8997109629
12,0.00060000,CH5,-0.8343735527
13,0.00065000,CH5,-0.8180651104
14,0.00070000,CH5,-0.6123332237
15,0.00075000,CH5,-0.1854493066
16,0.00080000,CH5,0.4856459774
17,0.00085000,CH5,1.0118578759
18,0.00090000,CH5,1.2720992009
19,0.00095000,CH5,1.4890322949
20,0.00100000,CH5,1.2758324737
21,0.00105000,CH5,1.0723155894
22,0.00110000,CH5,0.6642628202
23,0.00115000,CH5,0.6021963404
24,0.00120000,CH5,0.4204679465
25,0.00125000,CH5,0.3347373343
26,0.00130000,CH5,-0.1381363285
27,0.00135000,CH5,-0.4792221668
28,0.00140000,CH5,-0.9045124601
29,0.00145000,CH5,-1.3365511227
30,0.00150000,CH5,-1.4823931834
31,0.00155000,CH5,-1.4281702414
32,0.00160000,CH5,-1.0416510318
33,0.00165000,CH5,-0.4350317475
34,0.00170000,CH5,-0.0113582911
35,0.00175000,CH5,0.2252236429
36,0.00180000,CH5,0.4579324259
37,0.00185000,CH5,0.5209894758
38,0.00190000,CH5,0.8149723298
39,0.00195000,CH5,1.1161035174
40,0.00200000,CH5,1.2908986259
41,0.00205000,CH5,1.4845512042
42,0.00210000,CH5,1.4214330616
43,0.00215000,CH5,1.0107465372
44,0.00220000,CH5,0.4647491900
45,0.00225000,CH5,-0.1825646184
46,0.00230000,CH5,-0.7185817663
47,0.00235000,CH5,-0.9772163968
48,0.00240000,CH5,-1.0282710467
49,0.00245000,CH5,-1.0330807839
50,0.00250000,CH5,-0.9960595125
51,0.00255000,CH5,-1.0785573930
52,0.00260000,CH5,-0.9932601386
53,0.00265000,CH5,-0.9738803373
54,0.00270000,CH5,-0.6820449313
55,0.00275000,CH5,-0.1427283921
56,0.00280000,CH5,0.5243004810
57,0.00285000,CH5,1.1398266793
58,0.00290000,CH5,1.5085645432
59,0.00295000,CH5,1.5927270099
60,0.00300000,CH5,1.4457672228
61,0.00305000,CH5,1.1581948809
62,0.00310000,CH5,0.8954803143
63,0.00315000,CH5,0.6736456623
64,0.00320000,CH5,0.5474691381
65,0.00325000,CH5,0.2299412884
66,0.00330000,CH5,-0.1216332563
67,0.00335000,CH5,-0.6014663921
68,0.00340000,CH5,-1.1437430622
69,0.00345000,CH5,-1.5803159140
70,0.00350000,CH5,-1.7100409671
71,0.00355000,CH5,-1.5457386510
72,0.00360000,CH5,-1.1341448346
73,0.00365000,CH5,-0.6153091671
74,0.00370000,CH5,-0.0994829779
75,0.00375000,CH5,0.2520666222
76,0.00380000,CH5,0.4160665048
77,0.00385000,CH5,0.7841525582
78,0.00390000,CH5,0.8909754054
79,0.00395000,CH5,1.2448807952
80,0.00400000,CH5,1.5694146433
81,0.00405000,CH5,1.6713740326
82,0.00410000,CH5,1.5625044177
83,0.00415000,CH5,1.0418222455
84,0.00420000,CH5,0.5397428618
85,0.00425000,CH5,-0.1645926328
86,0.00430000,CH5,-0.7346363800
87,0.00435000,CH5,-1.0631523678
88,0.00440000,CH5,-1.2403320701
89,0.00445000,CH5,-1.0658146020
90,0.00450000,CH5,-1.0683346910
91,0.00455000,CH5,-1.1327380730
92,0.00460000,CH5,-1.1670284688
93,0.00465000,CH5,-1.0567349134
94,0.00470000,CH5,-0.7316178154
95,0.00475000,CH5,-0.2232362321
96,0.00480000,CH5,0.5745723609
97,0.00485000,CH5,1.1253505981
98,0.00490000,CH5,1.5652507215
99,0.00495000,CH5,1.7367321794
100,0.00500000,CH5,1.5643828522
101,0.00505000,CH5,1.2880447707
102,0.00510000,CH5,0.9172250841
103,0.00515000,CH5,0.7028008065
104,0.00520000,CH5,0.5781942885
105,0.00525000,CH5,0.2802238245
106,0.00530000,CH5,-0.1529240869
107,0.00535000,CH5,-0.5828518405
108,0.00540000,CH5,-1.1686617002
109,0.00545000,CH5,-1.5391546273
110,0.00550000,CH5,-1.6348631321
111,0.00555000,CH5,-1.5444582709
112,0.00560000,CH5,-1.1900530652
113,0.00565000,CH5,-0.5716165547
114,0.00570000,CH5,-0.1328885314
115,0.00575000,CH5,0.1984965262
116,0.00580000,CH5,0.4856568918
117,0.00585000,CH5,0.7278922608
118,0.00590000,CH5,1.0190602650
119,0.00595000,CH5,1.2397945318
120,0.00600000,CH5,1.4879522894
121,0.00605000,CH5,1.7118248875
122,0.00610000,CH5,1.4949418407
123,0.00615000,CH5,1.0675624251
124,0.00620000,CH5,0.3980984151
125,0.00625000,CH5,-0.1633397783
126,0.00630000,CH5,-0.6774282255
127,0.00635000,CH5,-0.9751716281
128,0.00640000,CH5,-1.1346285727
129,0.00645000,CH5,-1.1477755258
130,0.00650000,CH5,-1.0977489405
131,0.00655000,CH5,-1.1443840460
132,0.00660000,CH5,-1.1162519291
133,0.00665000,CH5,-1.0332886009
134,0.00670000,CH5,-0.6528237538
