index,time_s,channel,value
0,0.00000000,CH3,-0.0058076720
1,0.00005000,CH3,1.0127007230
2,0.00010000,CH3,1.5605945257
3,0.00015000,CH3,1.5418247694
4,0.00020000,CH3,1.3112535917
5,0.00025000,CH3,1.0984192861
6,0.00030000,CH3,1.0146621204
7,0.00035000,CH3,0.8881010570
8,0.00040000,CH3,0.5516616227
9,0.00045000,CH3,0.2011911914
10,0.00050000,CH3,-0.0292718380
11,0.00055000,CH3,-0.2852318221
12,0.00060000,CH3,-0.6152676000
13,0.00065000,CH3,-0.8375583514
14,0.00070000,CH3,-1.0321772970
15,0.00075000,CH3,-1.1436073457
16,0.00080000,CH3,-1.3173661682
17,0.00085000,CH3,-1.6121783913
18,0.00090000,CH3,-1.5114873923
19,0.00095000,CH3,-1.0119707193
20,0.00100000,CH3,0.0141174322
21,0.00105000,CH3,1.0717745144
22,0.00110000,CH3,1.5527991371
23,0.00115000,CH3,1.6127170323
24,0.00120000,CH3,1.3339481752
25,0.00125000,CH3,1.1382406602
26,0.00130000,CH3,1.0263874438
27,0.00135000,CH3,0.8641610270
28,0.00140000,CH3,0.5599460032
29,0.00145000,CH3,0.2287536998
30,0.00150000,CH3,0.0140586336
31,0.00155000,CH3,-0.2626838831
32,0.00160000,CH3,-0.5577059496
33,0.00165000,CH3,-0.8436850165
34,0.00170000,CH3,-1.0564951684
35,0.00175000,CH3,-1.1197151339
36,0.00180000,CH3,-1.3430089478
37,0.00185000,CH3,-1.5682900722
38,0.00190000,CH3,-1.5847586495
39,0.00195000,CH3,-0.9442431851
40,0.00200000,CH3,-0.0103748609
41,0.00205000,CH3,1.0677829700
42,0.00210000,CH3,1.5519676509
43,0.00215000,CH3,1.5725171707
44,0.00220000,CH3,1.2832402503
45,0.00225000,CH3,1.1652097629
46,0.00230000,CH3,1.0694487859
47,0.00235000,CH3,0.8719224628
48,0.00240000,CH3,0.5571814764
49,0.00245000,CH3,0.2143291694
50,0.00250000,CH3,0.0243197986
51,0.00255000,CH3,-0.2278655957
52,0.00260000,CH3,-0.5509222632
53,0.00265000,CH3,-0.8133729085
54,0.00270000,CH3,-1.0380754110
55,0.00275000,CH3,-1.1391406773
56,0.00280000,CH3,-1.3619871701
57,0.00285000,CH3,-1.5771561639
58,0.00290000,CH3,-1.5654748283
59,0.00295000,CH3,-0.9731751300
60,0.00300000,CH3,0.0056170040
61,0.00305000,CH3,1.0389492979
62,0.00310000,CH3,1.5590807313
63,0.00315000,CH3,1.5860175720
64,0.00320000,CH3,1.3762811750
65,0.00325000,CH3,1.1243190813
66,0.00330000,CH3,0.9617280558
67,0.00335000,CH3,0.8465007220
68,0.00340000,CH3,0.5436092613
69,0.00345000,CH3,0.2413980666
70,0.00350000,CH3,-0.0286064879
71,0.00355000,CH3,-0.2561279184
72,0.00360000,CH3,-0.5601149916
73,0.00365000,CH3,-0.8753390503
74,0.00370000,CH3,-1.0567918769
75,0.00375000,CH3,-1.1938675501
76,0.00380000,CH3,-1.3567104846
77,0.00385000,CH3,-1.5773328136
78,0.00390000,CH3,-1.5194487873
79,0.00395000,CH3,-1.0248023714
80,0.00400000,CH3,-0.0226821494
81,0.00405000,CH3,1.0130083644
82,0.00410000,CH3,1.5007479912
83,0.00415000,CH3,1.5491156064
84,0.00420000,CH3,1.3911036686
85,0.00425000,CH3,1.1716010805
86,0.00430000,CH3,1.0214813815
87,0.00435000,CH3,0.8200737751
88,0.00440000,CH3,0.5463230475
89,0.00445000,CH3,0.2126948016
90,0.00450000,CH3,-0.0196402523
91,0.00455000,CH3,-0.2540271567
92,0.00460000,CH3,-0.5552202460
93,0.00465000,CH3,-0.8154927996
94,0.00470000,CH3,-1.0743242706
95,0.00475000,CH3,-1.1375027385
96,0.00480000,CH3,-1.3559443184
97,0.00485000,CH3,-1.5948020177
98,0.00490000,CH3,-1.5288476257
99,0.00495000,CH3,-1.0095843653
100,0.00500000,CH3,-0.0173953552
101,0.00505000,CH3,1.0502849413
102,0.00510000,CH3,1.6180068472
103,0.00515000,CH3,1.5724117862
104,0.00520000,CH3,1.3342584005
105,0.00525000,CH3,1.1598938510
106,0.00530000,CH3,1.0372989876
107,0.00535000,CH3,0.8523654698
108,0.00540000,CH3,0.5682084253
109,0.00545000,CH3,0.2018534415
110,0.00550000,CH3,0.0036216983
111,0.00555000,CH3,-0.2441680858
112,0.00560000,CH3,-0.5455932026
113,0.00565000,CH3,-0.8072902019
114,0.00570000,CH3,-1.0845874479
115,0.00575000,CH3,-1.1653315181
116,0.00580000,CH3,-1.2879662027
117,0.00585000,CH3,-1.5921388695
118,0.00590000,CH3,-1.5811485085
119,0.00595000,CH3,-1.0583925647
120,0.00600000,CH3,0.0076308610
121,0.00605000,CH3,1.0614044852
122,0.00610000,CH3,1.5397170410
123,0.00615000,CH3,1.5521948580
124,0.00620000,CH3,1.3915976654
125,0.00625000,CH3,1.1268286555
126,0.00630000,CH3,1.0907750006
127,0.00635000,CH3,0.8424873480
128,0.00640000,CH3,0.5365142027
129,0.00645000,CH3,0.2446200092
130,0.00650000,CH3,-0.0387612606
