channel,harmonic_order,target_frequency_hz,detected_frequency_hz,frequency_error_hz,magnitude,relative_to_fundamental
CH1,1,999.9999999999714,999.9999999999714,0.0,1.6005712774338958,1.0
CH1,2,1999.9999999999427,1999.9999999999427,0.0,0.15096683496459562,0.09432059483575896
CH2,1,999.9999999999714,999.9999999999714,0.0,1.9987401634904738,1.0
CH3,1,999.9999999999714,999.9999999999714,0.0,1.3989811643425112,1.0
CH3,2,1999.9999999999427,1999.9999999999427,0.0,0.44969125879881694,0.32144196809837783
CH3,3,2999.999999999914,2999.999999999914,0.0,0.2504000016981716,0.17898740031703989
CH3,4,3999.9999999998854,3999.9999999998854,0.0,0.12117595438344449,0.0866172879749917
CH4,1,499.9999999999857,499.9999999999857,0.0,1.5296618991224606,1.0
CH4,3,1499.999999999957,1499.999999999957,0.0,0.506330069408431,0.3310078323183073
CH4,5,2499.999999999928,2499.9999999999286,4.547473508864641e-13,0.30277149898012184,0.19793360817433994
CH4,7,3499.9999999999,3499.9999999999,0.0,0.2148027219002937,0.14042496712739078
CH4,9,4499.999999999871,4499.999999999871,0.0,0.17089336834874833,0.1117196999198233
CH4,11,5499.999999999843,5499.999999999843,0.0,0.13419123154014717,0.08772607307348784
CH4,13,6499.999999999814,6499.9999999998145,9.094947017729282e-13,0.11389261882668525,0.07445607352319057
CH4,15,7499.999999999785,7499.999999999785,0.0,0.10273024250479196,0.06715879016384368
CH4,17,8499.999999999756,8499.999999999756,0.0,0.09409357593284458,0.06151266236468619
CH4,19,9499.999999999727,9499.999999999729,1.8189894035458565e-12,0.08820242913558497,0.057661388563175375
CH5,1,949.9999999999728,949.9999999999728,0.0,0.1918459724228776,1.0
