case,repeat,true_sag,detected_sag,status,selected_window_samples,alignment_lag_samples,alignment_correlation,event_count,confidence,classification,true_start_s,true_end_s,retained_gain,detected_start_s,detected_end_s,max_depth,deficit_area_s,entry_timescale_s,recovery_timescale_s,median_correlation,median_rms_ratio,unknown_residual_energy,start_error_s,end_error_s
clean_sag,0,True,True,clean_sag_supported,81,2,0.9920031165965036,1,0.934117867458801,clean_sag_supported,0.7388670864219119,1.2609049526602472,0.7290479226879907,0.708,1.262,0.2696054417247472,0.13368869664473956,0.03392775724991157,0.01963012840909482,0.9990773074056613,0.7367921478976089,0.4479604864072459,-0.030867086421911938,0.0010950473397528526
clean_sag,1,True,True,clean_sag_supported,81,0,0.9908490961007185,1,0.9476580875124315,clean_sag_supported,0.6447645535846812,1.1354290134858724,0.7144575177677792,0.613,1.167,0.3031892340098401,0.14786221385692985,0.04098522253693116,0.024113353677979326,0.9988160146723393,0.7020832979808186,0.5174777932527649,-0.03176455358468122,0.0315709865141276
clean_sag,2,True,True,clean_sag_supported,81,-1,0.9951490852780555,1,0.8825239807647308,clean_sag_supported,0.6827165497538901,1.0924974436786326,0.7763393243254499,0.6990000000000001,1.087,0.22886861142595327,0.07899555693862118,0.025733572788951782,0.03799519345273195,0.9986195681940452,0.7924616963043375,0.5246199213944811,0.01628345024611,-0.005497443678632585
clean_sag,3,True,True,clean_sag_supported,41,5,0.975552148276718,1,0.8735877428924551,clean_sag_supported,0.5216276616692177,0.8982352953506473,0.5088594747782967,0.512,0.905,0.5270440418942492,0.178450758284256,0.01851687621002484,0.01589021457297942,0.9963711635447214,0.5425447320146626,0.6547822397420494,-0.00962766166921769,0.0067647046493527485
clean_sag,4,True,True,clean_sag_supported,81,4,0.9894263100422404,1,0.9241489197083562,clean_sag_supported,0.7999347804106205,1.4136250254427387,0.7141962652191395,0.792,1.434,0.2797392324472251,0.16321078222191496,0.02026072082212837,0.026020076775865014,0.9984760297925372,0.7266988934332392,0.49295966494409493,-0.007934780410620457,0.020374974557261227
clean_sag,5,True,True,clean_sag_supported,81,-3,0.9765569675933954,1,0.984698836888978,clean_sag_supported,0.6952278032185382,1.1814005083660208,0.5323624611180997,0.6960000000000001,1.228,0.47655426756483255,0.21765380951843538,0.025433450893357086,0.0233360358917829,0.9979143115652788,0.5316252979014058,0.7311840785724395,0.000772196781461898,0.04659949163397914
clean_sag,6,True,True,clean_sag_supported,41,5,0.9868025305608248,1,0.8899637208356055,clean_sag_supported,0.5750635440754928,0.9236444039641785,0.6078292519845163,0.5760000000000001,0.966,0.4165407171639919,0.13265763103624445,0.010168548160892221,0.05396056216928095,0.996004068173018,0.6206081085387339,0.7390123020692536,0.0009364559245073067,0.04235559603582151
clean_sag,7,True,True,clean_sag_supported,81,-5,0.9943811894542733,1,0.8125818649499644,clean_sag_supported,0.5663946277065328,1.0988745129486326,0.7836928593971897,0.598,1.095,0.20512097581102118,0.09071320175640615,0.037432418244492144,0.03536498239288923,0.9987214069695476,0.8240271955024716,0.5802716476308882,0.03160537229346716,-0.0038745129486326135
clean_sag,8,True,True,clean_sag_supported,81,-7,0.9873156131308296,1,0.9670516995367053,clean_sag_supported,0.4844375729692943,1.031814396056634,0.6802597524443846,0.488,1.076,0.3288845585466712,0.1727225481828694,0.04215661707067481,0.03478493992303145,0.9987983019051828,0.6800026003213794,0.5271259725974066,0.003562427030705695,0.044185603943366125
clean_sag,9,True,True,clean_sag_supported,81,0,0.9721799186329697,1,0.9323503064507279,clean_sag_supported,0.5325896740952556,0.9431382850498984,0.5013433161103683,0.511,0.984,0.5123809697695512,0.2140561058889411,0.032597316482885524,0.03369129300553016,0.9970374908491871,0.49316263246454983,1.2189769030907307,-0.021589674095255584,0.0408617149501016
